,subject,relation,object,subject_entity,object_entity,sentence
17,Yol,award received,Palme d'Or,Q683020,Q179808,"However, Yol won numerous honours, including the Palme d'Or at the 1982 Cannes Film Festival."
18,A Man and a Woman,award received,Palme d'Or,Q261403,Q179808,"The film won several awards, including the Palme d'Or at the 1966 Cannes Film Festival, two Golden Globe Awards for Best Foreign Language Film and Best Actress - Drama (for AimÃ©e), and two Academy Awards for Best Foreign Language Film and Best Original Screenplay."
19,Il Postino: The Postman,award received,Academy Award for Best Original Dramatic Score,Q258647,Q22235329,"Composer Luis Bacalov won the Academy Award for Best Original Dramatic Score, and the film was nominated for Best Picture, Best Director, Best Actor, and Best Adapted Screenplay."
20,Syriana,award received,Academy Award for Best Supporting Actor,Q687040,Q106291,"Clooney won the Academy Award for Best Supporting Actor for Syriana's role as Bob Barnes, and Gaghan's script was nominated by the Academy for Best Original Screenplay."
21,Blade Runner,award received,Hugo Award for Best Dramatic Presentation,Q184843,Q3414212,"In the year after its release, Blade Runner won the Hugo Award for Best Dramatic Presentation, and in 1993 it was selected for preservation in the U.S. National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant""."
22,Vive L'Amour,award received,Golden Lion,Q711684,Q209459,"Vive L'Amour is Tsai's second feature film and premiered at the 51st Venice International Film Festival, where it won the prestigious Golden Lion."
23,After This Our Exile,award received,Hong Kong Film Award for Best Film,Q701374,Q4722629,"A critical hit, the film won both the Hong Kong Film Award for Best Film and the Golden Horse Award for Best Feature Film awards, as well as netting Aaron Kwok After This Our Exile's second consecutive win for the Golden Horse Award for Best Actor, after having won the award for his performance in Divergence the previous year."
24,Eternity and a Day,award received,Palme d'Or,Q697770,Q179808,The film won the Palme d'Or and the Prize of the Ecumenical Jury at the 1998 Cannes Film Festival.
25,Die Ratten,award received,Golden Bear,Q554975,Q154590,The film won the Golden Bear award.
26,Rashomon,award received,Golden Lion,Q135465,Q209459,"Rashomon was the first Japanese film to receive a significant international reception; it won several awards, including the Golden Lion at the Venice Film Festival in 1951, and an Academy Honorary Award at the 24th Academy Awards in 1952, and is considered one of the greatest films ever made."
27,The Cranes Are Flying,award received,Palme d'Or,Q714524,Q179808,"The Cranes Are Flying won the Palme d'Or at the 1958 Cannes Film Festival, the only Soviet film to win that award, although The Turning Point (1946) was one of eleven films awarded that year's Grand Prix, the predecessor of the Palme d'Or."
28,After This Our Exile,award received,Golden Horse Award for Best Feature Film,Q701374,Q5579574,"A critical hit, the film won both the Hong Kong Film Award for Best Film and the Golden Horse Award for Best Feature Film awards, as well as netting Aaron Kwok After This Our Exile's second consecutive win for the Golden Horse Award for Best Actor, after having won the award for his performance in Divergence the previous year."
29,Lorna's Silence,award received,Lux Prize,Q140267,Q2548210,"Lorna 's Silence was the winner of the 2008 LUX Prize, as well as the Best Screenplay Award at the 2008 Cannes Film Festival."
30,True Lies,award received,Saturn Award for Best Director,Q110397,Q1265702,"For True Lies's performance, Curtis won the Golden Globe Award for Best Actress - Motion Picture Musical or Comedy and the Saturn Award for Best Actress, while Cameron won the Saturn Award for Best Director."
31,Ivan's Childhood,award received,Golden Lion,Q147878,Q209459,Ivan 's Childhood won the Golden Lion at the Venice Film Festival in 1962 and the Golden Gate Award at the San Francisco International Film Festival in 1962.
32,Roman Holiday,award received,Academy Award for Best Actress,Q201293,Q103618,Hepburn won an Academy Award for Best Actress for Roman Holiday's performance; the screenplay and costume design also won.
33,Save the Tiger,award received,Academy Award for Best Actor,Q771605,Q103916,"Lemmon won the 1973 Academy Award for Best Actor for Save the Tiger's role as Harry Stoner (making him the first of six actors to win Oscars for both Best Actor and Best Supporting Actor), an executive in the garment industry who struggles with the complexity of modern life versus the simplicity of his youth."
34,In Old Arizona,award received,Academy Award for Best Actor,Q776337,Q103916,Baxter went on to win the Academy Award for Best Actor for In Old Arizona's performance.
35,As Good as It Gets,award received,Academy Award for Best Actor,Q221594,Q103916,"Nicholson and Hunt won the Academy Award for Best Actor and Best Actress, respectively, making As Good as It Gets the most recent film to win both of the lead acting awards, and the first since 1991's The Silence of the Lambs."
36,Fahrenheit 9/11,award received,Palme d'Or,Q221852,Q179808,"The film was also awarded the Palme d'Or, the festival's highest award."
37,Inglourious Basterds,award received,Academy Award for Best Supporting Actor,Q153723,Q106291,"For Inglourious Basterds's role as Landa, Waltz won the Cannes Film Festival's Best Actor Award, as well as the BAFTA, Screen Actors Guild, Critics' Choice, Golden Globe, and Academy Award for Best Supporting Actor."
38,A Patch of Blue,award received,Academy Award for Best Supporting Actress,Q223043,Q106301,"Shelley Winters won the Academy Award for Best Supporting Actress, A Patch of Blue's second win for the award, following her victory in 1959 for The Diary of Anne Frank."
39,Galaxy Quest,award received,Hugo Award for Best Dramatic Presentation,Q502067,Q3414212,The film was a modest box office success and positively received by critics: Galaxy Quest won the Hugo Award for Best Dramatic Presentation (an award won by the original Star Trek series in the 1960s) and the Nebula Award for Best Script.
40,Galaxy Quest,award received,Nebula Award for Best Script,Q502067,Q644077,The film was a modest box office success and positively received by critics: Galaxy Quest won the Hugo Award for Best Dramatic Presentation (an award won by the original Star Trek series in the 1960s) and the Nebula Award for Best Script.
41,Taste of Cherry,award received,Palme d'Or,Q794178,Q179808,"Taste of Cherry was awarded the Palme d'Or at the 1997 Cannes Film Festival, which it shared with The Eel."
42,"Lust, Caution",award received,Golden Lion,Q718524,Q209459,"With this film, Lee won the Golden Lion Award at the Venice Film Festival for the second time, the first being with Brokeback Mountain."
43,The Ghost and the Darkness,award received,Academy Award for Best Sound Editing,Q728488,Q488645,The Ghost and the Darkness won the Academy Award for Best Sound Editing for supervising sound editor Bruce Stambler.
44,The White Ribbon,award received,Palme d'Or,Q158023,Q179808,"The film premiered at the 62nd Cannes Film Festival in May 2009 where The White Ribbon won the Palme d'Or, followed by positive reviews and several other major awards, including the 2010 Golden Globe Award for Best Foreign Language Film."
45,Days of Heaven,award received,Academy Award for Best Cinematography,Q670378,Q131520,"Days of Heaven was not a significant commercial success, but did win an Academy Award for Best Cinematography along with three nominations for the score, costume design and sound."
46,Chariots of Fire,award received,Academy Award for Best Original Score,Q207921,Q488651,"The film is also notable for Chariots of Fire's memorable electronic theme tune by Vangelis, who won the Academy Award for Best Original Score."
47,The Purple Rose of Cairo,award received,BAFTA Award for Best Film,Q912729,Q139184,"The Purple Rose of Cairo won the BAFTA Award for Best Film, while Allen received several screenwriting nominations, including an Academy Award, a BAFTA Award and a Writers Guild of America Award."
48,Pirates of the Caribbean: Dead Man's Chest,award received,Academy Award for Best Visual Effects,Q161087,Q393686,"The film received Academy Award nominations for Best Art Direction, Sound Editing, Sound Mixing, and won the Academy Award for Best Visual Effects."
49,Vera Drake,award received,Golden Lion,Q916645,Q209459,Vera Drake won the Golden Lion at the Venice Film Festival and it was nominated for three Academy Awards and won three BAFTAs.
50,Krrish,award received,National Film Award for Best Special Effects,Q1076823,Q143430,Krrish also won the National Film Award for Best Special Effects.
51,Woman Sesame Oil Maker,award received,Golden Bear,Q1088947,Q154590,"The film won the Golden Bear for Best Film at the 43rd Berlin International Film Festival in 1993, a prize Woman Sesame Oil Maker shared with Ang Lee's The Wedding Banquet."
52,The House of Smiles,award received,Golden Bear,Q1088798,Q154590,The film won the Golden Bear at the 41st Berlin International Film Festival.
53,Law of Desire,award received,Teddy Award,Q478076,Q182836,"Law of Desire toured many international film festival, winning the Teddy Award in Berlin and it made AlmodÃ³var known internationally."
54,"If Not Us, Who?",award received,Alfred Bauer Prize,Q481348,Q321207,Veiel won the Alfred Bauer Prize at the Berlinale.
55,Amores perros,award received,Ariel Award for Best Picture,Q474098,Q2108656,Amores perros was nominated for the Academy Award for Best Foreign Language Film in 2000 and won the Ariel Award for Best Picture from the Mexican Academy of Film.
56,Koi... Mil Gaya,award received,National Film Award for Best Film on Other Social Issues,Q1094839,Q429290,"Koi... Mil Gaya received the National Film Award for Best Film on Other Social Issues, and was screened at the Jerusalem Film Festival and the NatFilm Festival in Denmark."
57,One Way Passage,award received,Academy Award for Best Story,Q962536,Q504298,The screenplay was by Robert Lord and earned him the Academy Award for Best Story.
58,Forbidden Games,award received,Golden Lion,Q976558,Q209459,"Forbidden Games won the Golden Lion at the Venice Film Festival, a Special Award as Best Foreign Language Film in the United States, and a Best Film from any Source at the British Academy Film Awards."
59,A Year of the Quiet Sun,award received,Golden Lion,Q1094047,Q209459,"At the Venice Film Festival, the film was awarded the Golden Lion and Pasinetti Awards."
60,The Woman and the Stranger,award received,Golden Bear,Q480773,Q154590,"The film was entered into the 35th Berlin International Film Festival, where The Woman and the Stranger won the Golden Bear."
61,Aparajito,award received,Golden Lion,Q622382,Q209459,"Aparajito won 11 international awards, including the Golden Lion and Critics Award at the Venice Film Festival, becoming the first ever film to win both."
62,Barton Fink,award received,Palme d'Or,Q237215,Q179808,"In a rare sweep, Barton Fink won the Palme d'Or, as well as awards for Best Director and Best Actor (Turturro)."
63,Death Becomes Her,award received,Academy Award for Best Visual Effects,Q1160186,Q393686,Death Becomes Her won the Academy Award for Best Visual Effects.
64,Peppermint Candy,award received,Grand Bell Awards,Q448464,Q496411,Peppermint Candy won multiple awards at the Karlovy Vary International Film Festival and won the Grand Bell Awards for best film of 2000.
65,She Wore a Yellow Ribbon,award received,"Academy Award for Best Cinematography, Color",Q849344,Q21995136,"The film won the Academy Award for Best Cinematography, Color in 1950."
66,Dilwale Dulhania Le Jayenge,award received,National Film Award for Best Popular Film Providing Wholesome Entertainment,Q849343,Q1967210,Dilwale Dulhania Le Jayenge won 10 Filmfare Awards-the most for a single film at that time-and the National Film Award for Best Popular Film Providing Wholesome Entertainment.
67,Chak De! India,award received,National Film Award for Best Popular Film Providing Wholesome Entertainment,Q1029548,Q1967210,"India won a number of awards, including the National Film Award for Best Popular Film Providing Wholesome Entertainment."
68,Il bell'Antonio,award received,Golden Leopard,Q815079,Q1700510,The film won the Golden Leopard at the Locarno International Film Festival.
69,Khubsoorat,award received,Filmfare Award for Best Film,Q367046,Q1414525,The film won the 1981 Filmfare Award for Best Film.
70,The Art of Crying,award received,Nordic Council Film Prize,Q342637,Q182366,"The film received both the Bodil and Robert awards for Best Danish Film, and The Nordic Council Film Prize."
71,An Autumn's Tale,award received,Hong Kong Film Award for Best Film,Q837111,Q4722629,"The film won the Hong Kong Film Award for Best Film, Best Cinematography (James Hayman and David Chung) and Best Screenplay (Alex Law); Chow was nominated for Best Actor for three films that same year, but won for An Autumn 's Tale's performance in Prison on Fire."
72,Dead Poets Society,award received,BAFTA Award for Best Film,Q106316,Q139184,"The film won the BAFTA Award for Best Film, the CÃ©sar Award for Best Foreign Film and the David di Donatello Award for Best Foreign Film."
73,Seemabaddha,award received,National Film Award for Best Feature Film,Q639639,Q1435633,"The film won the FIPRESCI Award at the 33rd Venice International Film Festival, and the National Film Award for Best Feature Film in 1971."
74,A Separation,award received,Asia Pacific Screen Award for Best Feature Film,Q640561,Q4806447,and the Asia Pacific Screen Award for Best Feature Film.
75,My Own Private Idaho,award received,Volpi Cup,Q1125451,Q49025,"Phoenix received several awards for My Own Private Idaho's performance in the film, including the Volpi Cup for Best Actor at the 1991 Venice Film Festival, Best Male Lead from the Independent Spirit Awards, and Best Actor from the National Society of Film Critics."
76,The Dirty Dozen,award received,Academy Award for Best Sound Editing,Q470735,Q488645,The Dirty Dozen was a box office success and won the Academy Award for Best Sound Editing at the 40th Academy Awards in 1968.
77,Teesri Kasam,award received,National Film Award for Best Feature Film,Q1552909,Q1435633,The film won the National Film Award for Best Feature Film at the 14th National Film Awards.
78,Alpine Fire,award received,Golden Leopard,Q1569996,Q1700510,Alpine Fire won the Golden Leopard at the 1985 Locarno International Film Festival.
79,The Hottie and the Nottie,award received,Golden Raspberry Award for Worst Actress,Q1585146,Q602866,"Paris Hilton won the Golden Raspberry Award for Worst Actress, which was one of three ""Razzies"" The Hottie and the Nottie received at the 29th Golden Raspberry Awards."
80,Mohabbatein,award received,Filmfare Award for Best Supporting Actor,Q1135349,Q966068,"The film changed Amitabh Bachchan's career prospects and earned him critical acclaim as well as several awards, including the Filmfare Award for Best Supporting Actor for Mohabbatein's performance."
81,Mohabbatein,award received,Filmfare Critics Award for Best Actor,Q1135349,Q4631343,Shah Rukh Khan's work in Mohabbatein is still regarded as one of his finest performances; he won the Filmfare Critics Award for Best Actor for his performance and also received a Filmfare Award for Best Actor nomination.
82,Drums of Winter,award received,National Film Registry,Q2149134,Q823422,"In 2006, Drums of Winter was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant""."
83,Loonies,award received,Golden Film,Q1869417,Q1350190,"The film received a Golden Film (75,000 visitors) in 2002."
84,Shun Li and the Poet,award received,Lux Prize,Q2021294,Q2548210,Shun Li and the Poet won the European Parliament Lux Prize in 2012.
85,Travelling with Pets,award received,Golden George,Q2367656,Q38842580,Travelling with Pets won the Golden George at the 29th Moscow International Film Festival.
86,Peculiarities of the National Hunt,award received,Nika Award,Q2370559,Q431668,Peculiarities of the National Hunt won the Nika Award and Kinotavr awards.
87,All About My Father,award received,Amanda Award for Best Film,Q1763585,Q18907800,All About My Father also won the 2002 Amanda Award for Best Film (Norwegian).
88,Darr,award received,National Film Award for Best Popular Film Providing Wholesome Entertainment,Q1166556,Q1967210,"Darr has won several accolades, including the National Film Award for Best Popular Film Providing Wholesome Entertainment."
89,The Juror,award received,Golden Raspberry Award for Worst Actress,Q1475275,Q602866,Moore won a joint Golden Raspberry Award for Worst Actress for both The Juror's performance in this film and in Striptease.
90,Yes Nurse! No Nurse!,award received,Platinum Film,Q2388985,Q1985724,"The film received a Golden Film (75,000 visitors) and a Platinum Film (200,000 visitors) in 2002."
91,Submarino,award received,Nordic Council Film Prize,Q2299929,Q182366,The film won the 2010 Nordic Council Film Prize.
92,Keep Off,award received,Golden Film,Q2442944,Q1350190,"The film received a Golden Film (100,000 visitors)."
93,The Longing,award received,Golden Leopard,Q1170671,Q1700510,The Longing won the Golden Leopard at the 2002 Locarno International Film Festival.
94,The Heart of Jenin,award received,German Film Award for Best Documentary Film,Q1168958,Q1204830,"In April 2010, The Heart of Jenin won the German Film Award for Best Documentary Film."
95,The Moving True Story of a Woman Ahead of Her Time,award received,Platinum Film,Q2680344,Q1985724,"The film received a Golden Film (75,000 visitors) and Platinum Film in 2001."
96,The Enemy Below,award received,Academy Award for Best Special Effects,Q1263897,Q22917729,"For the audible effects, Walter Rossi received the 1958 Academy Award for Best Special Effects."
97,About Elly,award received,Silver Bear for Best Director,Q1311890,Q706031,Farhadi won the Silver Bear for Best Director at the 59th Berlin International Film Festival for the film.
98,Mimino,award received,10th Moscow International Film Festival,Q1519753,Q2756137,The Soviet era comedy won the 1977 Golden Prize at the 10th Moscow International Film Festival.
99,The Forgiveness of Blood,award received,Silver Bear for Best Screenplay,Q3423831,Q19361153,Marston and co-writer Andamion Murataj won the Silver Bear for Best Script.
100,Piravi,award received,National Film Award for Best Feature Film,Q1343846,Q1435633,Piravi also won the National Film Award for Best Feature Film at the Indian National Film Awards in 1989.
101,Kathapurushan,award received,National Film Award for Best Feature Film,Q3534340,Q1435633,The film won the National Film Award for Best Feature Film at the National Film Awards in 1996.
102,Mon Oncle,award received,New York Film Critics Circle Award for Best Foreign Language Film,Q1346590,Q1817213,"The first of Tati's films to be released in colour, Mon Oncle won the Academy Award for Best Foreign Language Film, a Special Prize at the 1958 Cannes Film Festival, and the New York Film Critics Circle Award for Best Foreign Language Film, receiving more honors than any of Tati's other cinematic works."
103,"Sex, Lies, and Videotape",award received,Cannes Film Festival,Q1367548,Q42369,"The film won the Palme d'Or at the 1989 Cannes Film Festival, brought Soderbergh to prominence and was influential in revolutionizing the independent film movement in the early 1990s."
104,A Song for Tibet,award received,Genie Awards,Q3227668,Q1502249,"Directed by Anne Henderson, A Song for Tibet received the Award for Best Short Documentary at the 13th Genie Awards as well as the People's Choice Award for Best Documentary Film at the Hawaii International Film Festival."
105,About Sara,award received,Golden George,Q4328822,Q38842580,About Sara won the Golden George at the 28th Moscow International Film Festival.
106,Pete on the Way to Heaven,award received,Golden George,Q4361888,Q38842580,Pete on the Way to Heaven won the Golden George at the 31st Moscow International Film Festival.
107,An Episode in the Life of an Iron Picker,award received,Silver Bear for Best Actor,Q4749923,Q819973,The film premiered in competition at the 63rd Berlin International Film Festival where An Episode in the Life of an Iron Picker won the Jury Grand Prix and Nazif Mujić won the Silver Bear for Best Actor.
108,Hibiscus Town,award received,Golden Rooster Awards,Q5231252,Q1011572,"The film won Best Film for 1987 Golden Rooster Awards and Hundred Flowers Awards, as well as Best Actress awards for Liu Xiaoqing at both ceremonies."
109,Ardhangi,award received,National Film Award for Best Feature Film in Telugu,Q4788033,Q1798650,The film has received the National Film Award for Best Feature Film in Telugu and the Filmfare Award for Best Film - Telugu.
110,16 Vayathinile,award received,National Film Award for Best Female Playback Singer,Q4552081,Q1314838,"16 Vayathinile won numerous awards, including the National Film Award for Best Female Playback Singer for S. Janaki; the Filmfare Award for Best Actor (Tamil) for Haasan and Special Commendation Award for Performance for Sridevi; and four State Awards, including Best Director for Bharathiraja and Best Actor for Haasan."
111,Sindhooram,award received,National Film Award for Best Feature Film in Telugu,Q7522232,Q1798650,"The film has garnered the National Film Award for Best Feature Film in Telugu - ""For the film's sincere effort at analysing, the problem of corruption which leads to disillusionment among the young and perpetuates violence within a society"", and the Nandi Award for Best Feature Film (Silver)."
112,Sindhooram,award received,Nandi Award for Best Feature Film,Q7522232,Q6963259,"The film has garnered the National Film Award for Best Feature Film in Telugu - ""For the film's sincere effort at analysing, the problem of corruption which leads to disillusionment among the young and perpetuates violence within a society"", and the Nandi Award for Best Feature Film (Silver)."
113,Suraj Ka Satvan Ghoda,award received,National Film Award for Best Feature Film in Hindi,Q7645326,Q1716697,Suraj Ka Satvan Ghoda won the 1993 National Film Award for Best Feature Film in Hindi.
114,Tow Truck Pluck,award received,Golden Film,Q7829514,Q1350190,"The film received a Golden Film (100,000 visitors) in 2004 and a Platinum Film (400,000 visitors) in 2005."
115,On the Mountain of Tai Hang,award received,Golden Rooster Award for Best Picture,Q10041645,Q5579757,The film won the 25th Golden Rooster Award for Best Picture in 2005.
116,The Fight Between the Snipe and the Clam,award received,Silver Bear for Best Short Film,Q7733798,Q24904781,The Fight Between the Snipe and the Clam won the Silver Bear for Best Short Film at the Berlin International Film Festival in February 1984.
117,Monica & David,award received,Tribeca Film Festival,Q6899887,Q853325,"The film premiered on November 22, 2009 at IDFA and has won Best Documentary Feature at the 2010 Tribeca Film Festival."
118,"Beyond Sorrow, Beyond Pain",award received,Guldbagge Award for Best Film,Q10672456,Q382371,The film won the Guldbagge Award for Best Film at the 20th Guldbagge Awards.
119,Sudigundalu,award received,Nandi Award for Best Feature Film,Q10971759,Q6963259,"The film has garnered the National Film Award for Best Feature Film in Telugu, The Nandi Award for Best Feature Film, and the Filmfare Award for Best Film - Telugu."
120,Kamla Ki Maut,award received,Filmfare Award for Best Screenplay,Q11040692,Q2694852,At the 36th Filmfare Awards the film won the Filmfare Award for Best Screenplay for Basu Chatterjee.
121,Kathanayika Molla,award received,Nandi Award for Best Feature Film,Q10962501,Q6963259,Kathanayika Molla features the songs Jagame Ramamayam and Manishini Brahmayya Mattito Chesenaya and received the Nandi Award for Best Feature Film.
122,Kudrat,award received,Filmfare Award for Best Story,Q11750763,Q1414504,The film was a box office hit and Kudrat won the Filmfare Award for Best Story.
123,Little Zizou,award received,National Film Award for Best Film on Family Welfare,Q11761993,Q1967186,"Little Zizou won the ""Rajat Kamal"" of 'National Film Award for Best Film on Family Welfare' category at the 56th National Film Awards."
124,The Missing Picture,award received,Un Certain Regard,Q13370821,Q1071326,The Missing Picture was screened in the Un Certain Regard section at the 2013 Cannes Film Festival where it won the top prize.
125,Little Crusader,award received,Crystal Globe,Q14541802,Q2565389,Little Crusader won Crystal Globe at Karlovy Vary International Film Festival.
126,The Geographer Drank His Globe Away,award received,Kinotavr,Q13557525,Q2278467,"The film participated in the XXIV Open Russian Film Festival ""Kinotavr"" in Sochi and was awarded the main prize."
127,Of Horses and Men,award received,Nordic Council Film Prize,Q15613306,Q182366,The film won the 2014 Nordic Council Film Prize.
128,Hours for Jerome,award received,National Film Registry,Q15876465,Q823422,The two parts are included in the US National Film Registry and hence selected for preservation in the Library of Congress.
129,Uttar Falguni,award received,National Film Award for Best Feature Film in Bengali,Q16255033,Q1967162,"At the 11th National Film Awards, the film was awarded the National Film Award for Best Feature Film in Bengali."
130,Chandrokotha,award received,Meril Prothom Alo Awards,Q16345402,Q6819434,Meher Afroz Shaon and Ahmed Rubel won Best Film Actress and Actor awards in 6th Meril Prothom Alo Awards.
131,Bob and the Trees,award received,Crystal Globe,Q20667326,Q2565389,Bob and the Trees is a 2015 American fictional vÃ©ritÃ© drama film that won the Crystal Globe at the Karlovy Vary International Film Festival.
132,A Prominent Patient,award received,Czech Lion for Best Film,Q21598571,Q1402316,A Prominent Patient won twelve Czech Lions including the Czech Lion for Best Film.
133,Toni Erdmann,award received,Lux Prize,Q23838395,Q2548210,Toni Erdmann also won the European Parliament LUX Prize.
134,Mom and the Red Bean Cake,award received,38th International Emmy Awards,Q23899916,Q20053836,"Mom and the Red Bean Cake was produced by MBC, and honored at the 38th International Emmy Awards."
135,"I, Daniel Blake",award received,Prix du public,Q23823458,Q3922198,"The film won the Palme d'Or at the 2016 Cannes Film Festival, the Prix du public at the 2016 Locarno International Film Festival, and the 2017 BAFTA Award for Outstanding British Film."
136,Amdavad Ma Famous,award received,National Film Award for Best Non-Feature Film,Q23692030,Q1967157,The film received the National Film Award for Best Non-Feature Film at 63rd National Film Awards for 2015.
137,The Canary Yellow Bicycle,award received,Greek State Film Awards,Q20875861,Q16840966,The film won the second best film award and the award of the best leading actor in the Greek State Film Awards.
138,Sami Blood,award received,Lux Prize,Q27536918,Q2548210,Sami Blood won the 2017 Lux Prize and was nominated for the 2017 Nordic Council Film Prize.
139,Wrong Side Raju,award received,National Film Awards,Q26683704,Q1350697,The film won National Film Award for Best Feature Film in Gujarati at the 64th National Film Awards.
140,South of 8,award received,Best Dramatic Screenplay,Q27536704,Q28528753,"South of 8 officially premiered September 26, 2016 at the Downtown Los Angeles Film Festival in Los Angeles, California, where it won the jury award for Best Dramatic Screenplay."
141,Nimantran,award received,National Film Award for Best Feature Film in Bengali,Q48671190,Q1967162,"At the 19th National Film Awards, Nimantran won the National Film Award for Best Feature Film in Bengali."
142,Aalorukkam,award received,National Film Award for Best Film on Other Social Issues,Q52151857,Q429290,The film won the National Film Award for Best Film on Other Social Issues while Indrans won the Kerala State Film Award for Best Actor for Aalorukkam's widely acclaimed performance in the film.
143,Hello Arsi,award received,National Film Awards,Q51885955,Q1350697,"At the 65th National Film Awards, the film won Best Feature Film in Odia, Best Screenplay, and Special Mention awards."
144,Kshudhita Pashan,award received,National Film Award for Second Best Feature Film,Q56275660,Q516771,This film was released in 1960 and received National Film Award for Second Best Feature Film.
145,Bulbul Can Sing,award received,National Film Award for Best Feature Film in Assamese,Q56281788,Q1720787,The film won the National Film Award for Best Feature Film in Assamese at India's 66th National Film Awards.
146,73 Cows,award received,BAFTA Award for Best Short Film,Q60738436,Q338757,"In 2019, 73 Cows won the BAFTA Award for Best Short Film at the 72nd British Academy Film Awards."
