,subject,relation,object,subject_entity,object_entity,sentence
30,The File of the Golden Goose,director,Sam Wanamaker,Q38143,Q1370307,"The File of the Golden Goose is a 1969 British thriller film directed by Sam Wanamaker and starring Yul Brynner, Charles Gray and Edward Woodward."
31,Liar Liar,director,Tom Shadyac,Q48980,Q722135,"Liar Liar is a 1997 American fantasy comedy film directed by Tom Shadyac, written by Paul Guay and Stephen Mazur and starring Jim Carrey, who was nominated for a Golden Globe Award for Best Actor in a Comedy."
32,Married to the Mob,director,Jonathan Demme,Q48984,Q48987,"Married to the Mob is a 1988 American comedy film directed by Jonathan Demme, starring Michelle Pfeiffer and Matthew Modine."
33,Abbott and Costello in the Foreign Legion,director,Charles Lamont,Q23896,Q1065270,Abbott and Costello in the Foreign Legion is a 1950 comedy film directed by Charles Lamont and starring the comedy team of Abbott and Costello.
34,Podaa Podi,director,Vignesh Shivan,Q26162,Q18210252,"Go boy, go girl) is a 2012 Indian Tamil-language musical romantic comedy film written and directed by debutant Vignesh Shivan, starring Silambarasan and Varalaxmi Sarathkumar."
35,Paris Belongs to Us,director,Jacques Rivette,Q25513,Q167475,"Paris Belongs to Us (French: Paris nous appartient, sometimes translated as Paris Is Ours) is a 1961 French mystery film directed by Jacques Rivette."
36,Mallrats,director,Kevin Smith,Q39999,Q489831,"Mallrats is a 1995 American buddy comedy film written and directed by Kevin Smith and starring Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Jason Mewes, Joey Lauren Adams, Michael Rooker, and Smith himself."
37,Adhisaya Manithan,director,Velu Prabhakaran,Q3998,Q16734684,"Adhisaya Manithan (English: Mysterious Human) is a 1990 Tamil Slasher film, produced by Thakkali Srinivasan and directed by Velu Prabhakaran."
38,Cast a Giant Shadow,director,Melville Shavelson,Q25835,Q117479,"Melville Shavelson adapted, produced and directed."
39,Frida,director,Julie Taymor,Q35738,Q240490,Frida is a 2002 American biographical drama film directed by Julie Taymor which depicts the professional and private life of the surrealist Mexican artist Frida Kahlo.
40,Le Pont du Nord,director,Jacques Rivette,Q25503,Q167475,Le Pont du Nord is a 1981 French film directed by Jacques Rivette.
41,The Girl from Nowhere,director,Jean-Claude Brisseau,Q38235,Q953105,The Girl from Nowhere (French: La Fille de nulle part) is a 2012 French drama film directed by Jean-Claude Brisseau.
42,"Up, Down, Fragile",director,Jacques Rivette,Q25617,Q167475,"Up, Down, Fragile (French: Haut bas fragile) is a 1995 French film directed by Jacques Rivette."
43,Drop Dead Fred,director,Ate de Jong,Q53703,Q279894,"Drop Dead Fred is a 1991 British-American black comedy fantasy film directed by Ate de Jong, produced by PolyGram Filmed Entertainment and Working Title Films and released and distributed by New Line Cinema."
44,Ammavin Kaipesi,director,Thangar Bachan,Q25482,Q7710300,Shanthanu and Iniya play the lead role while Thangar Bachan plays a pivotal role.
45,200 Cigarettes,director,Risa Bramon Garcia,Q40071,Q22976011,200 Cigarettes is a 1999 American comedy film directed by Risa Bramon Garcia and written by Shana Larsen.
46,Celluloide,director,Carlo Lizzani,Q34643,Q26208,Celluloide is a 1996 Italian film directed by Carlo Lizzani.
47,Fly Away Home,director,Carroll Ballard,Q49018,Q1045172,Flying Wild and Father Goose) is a 1996 family drama film directed by Carroll Ballard.
48,Kings of the Sun,director,J. Lee Thompson,Q25858,Q456979,Kings of the Sun is a 1963 DeLuxe Color film directed by J. Lee Thompson for Mirisch Productions set in Mesoamerica at the time of the conquest of Chichen Itza by Hunac Ceel.
49,The Tiger and the Snow,director,Roberto Benigni,Q19358,Q23301,The Tiger and the Snow (Italian: La tigre e la neve) is a 2005 Italian comedy-drama  film starring and directed by Roberto Benigni.
50,Curse of the Golden Flower,director,Zhang Yimou,Q51737,Q55430,Curse of the Golden Flower (Chinese: ; pinyin: MÇnchÃ©ngjÃ¬ndÃ ihuÃ¡ngjÄ«njiÇ) is a 2006 Chinese epic wuxia drama film written and directed by Zhang Yimou.
51,Bloodbath at the House of Death,director,Ray Cameron,Q4733,Q16012937,Bloodbath at the House of Death is a 1983 British comedy horror film directed by Ray Cameron and starring the comedian Kenny Everett and featuring Vincent Price.
52,Percy's Progress,director,Ralph Thomas,Q4815,Q433960,Percy's Progress is a 1974 British comedy film directed by Ralph Thomas.
53,Bandits in Milan,director,Carlo Lizzani,Q25994,Q26208,Bandits in Milan (Italian: Banditi a Milano; also known as The Violent Four) is a 1968 Italian crime film directed by Carlo Lizzani.
54,Strike Commando 2,director,Bruno Mattei,Q25947,Q729124,"Strike Commando 2 follows Bruno Mattei's (who also directed the film) Strike Commando (1987), where Reb Brown plays the lead character (Huff replaced him in this one)."
55,Iron Eagle,director,Sidney J. Furie,Q39956,Q1359422,"Iron Eagle is a 1986 military action film directed by Sidney J. Furie, co-written by Kevin Alyn Elders and starring Jason Gedrick and Louis Gossett Jr."
56,Back to Stay,director,Milagros Mumenthaler,Q38297,Q3313842,"Back to Stay (Spanish: Abrir puertas y ventanas) is a 2011 Argentine-Swiss comedy-drama film, written and directed by Milagros Mumenthaler and is her first full-length feature film."
57,Skyfall,director,Sam Mendes,Q4941,Q223233,"The film is the third to star Daniel Craig as fictional MI6 agent James Bond and features Javier Bardem as Raoul Silva, the villain, and Judi Dench as M. It was directed by Sam Mendes and written by Neal Purvis, Robert Wade, and John Logan, and features the theme song ""Skyfall"", written and performed by Adele."
58,Love on the Ground,director,Jacques Rivette,Q25508,Q167475,Love on the Ground (French: L'Amour par terre) is a 1984 French film directed by Jacques Rivette.
59,The Long Duel,director,Ken Annakin,Q38365,Q470818,"The Long Duel is a 1967 British adventure film directed by Ken Annakin and starring Yul Brynner, Trevor Howard, Charlotte Rampling and Harry Andrews."
60,"The Good, the Bad and the Ugly",director,Sergio Leone,Q41483,Q164562,"'""The good, the ugly, the bad""') is a 1966 Italian epic Spaghetti Western film directed by Sergio Leone and starring Clint Eastwood as ""the Good"", Lee Van Cleef as ""the Bad"", and Eli Wallach as ""the Ugly""."
61,Iron Eagle II,director,Sidney J. Furie,Q39960,Q1359422,Iron Eagle II (also titled Iron Eagle II: The Battle Beyond the Flag) is a 1988 military action film directed by Sidney J. Furie and written by Furie and Kevin Alyn Elders.
62,School Ties,director,Robert Mandel,Q40074,Q3091066,"School Ties is a 1992 American sports-drama film directed by Robert Mandel and starring Brendan Fraser, Matt Damon, Ben Affleck, Chris O'Donnell, Cole Hauser, Randall Batinkoff, Andrew Lowery and Anthony Rapp."
63,The Death and Life of Bobby Z,director,John Herzfeld,Q38486,Q328814,"The Death and Life of Bobby Z, also known as Bobby Z and Let's Kill Bobby Z, is a 2007 American-German action film, directed by John Herzfeld, and starring Paul Walker, Laurence Fishburne, Olivia Wilde and Joaquim de Almeida."
64,Kingsajz,director,Juliusz Machulski,Q54976,Q1349134,Kingsajz is a 1987 cult Polish comedy fantasy film directed by Juliusz Machulski.
65,La Strada,director,Federico Fellini,Q18402,Q7371,"'""The Road""') is a 1954 Italian drama film directed by Federico Fellini from La Strada's own screenplay co-written with Tullio Pinelli and Ennio Flaiano."
66,I Vitelloni,director,Federico Fellini,Q18399,Q7371,"""The Bullocks/The layabouts"") is a 1953 Italian comedy-drama directed by Federico Fellini from a screenplay by Fellini, Ennio Flaiano and Tullio Pinelli."
67,Visions of Light,director,Todd McCarthy,Q24258,Q2894636,"Visions of Light is a 1992 documentary film directed by Arnold Glassman, Todd McCarthy and Stuart Samuels."
68,Penny Gold,director,Jack Cardiff,Q43911,Q436704,"Penny Gold is a 1973 British drama film directed by Jack Cardiff and starring James Booth, Francesca Annis, Nicky Henson and Joss Ackland."
69,The People Under the Stairs,director,Wes Craven,Q27338,Q223992,"The People Under the Stairs is a 1991 American horror comedy film written and directed by Wes Craven and starring Brandon Adams, Everett McGill, Wendy Robie, A. J. Langer, Ving Rhames, and Sean Whalen."
70,Jack the Giant Slayer,director,Bryan Singer,Q27513,Q220751,"Jack the Giant Slayer (previously titled Jack the Giant Killer) is a 2013 American fantasy adventure film directed and co-produced by Bryan Singer and written by Darren Lemke, Christopher McQuarrie and Dan Studney, from a story by Lemke and David Dobkin."
71,Borat,director,Larry Charles,Q186323,Q722115,"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan, more commonly known simply as Borat, is a 2006 British-American comedy film directed by Larry Charles as well as co-written and produced by Sacha Baron Cohen."
72,The White Sheik,director,Federico Fellini,Q18397,Q7371,"The White Sheik (Italian: Lo sceicco bianco) is a 1952 Italian romantic comedy film directed by Federico Fellini and starring Alberto Sordi, Leopoldo Trieste, Brunella Bovo and Giulietta Masina."
73,Do Bigha Zamin,director,Bimal Roy,Q23089,Q55405,'Two bighas of land') is a 1953 Indian Hindi-language drama film directed by Bimal Roy.
74,Eraserhead,director,David Lynch,Q11618,Q2071,"Eraserhead is a 1977 American experimental body horror film written, directed, produced, and edited by David Lynch."
75,The Trapp Family,director,Wolfgang Liebeneiner,Q43968,Q67568,"The Trapp Family (German: Die Trapp-Familie) is a 1956 West German comedy drama film about the real-life Austrian musical family of that name directed by Wolfgang Liebeneiner and starring Ruth Leuwerik, Hans Holt, and Maria Holst."
76,Ghost Rider: Spirit of Vengeance,director,Mark Neveldine,Q41854,Q1340718,"The film was directed by Mark Neveldine and Brian Taylor, from a screenplay written by Scott M. Gimple, Seth Hoffman, and David S. Goyer."
77,Kiler,director,Juliusz Machulski,Q54974,Q1349134,"Kiler (English: The Hitman) is a 1997 Polish comedy by Juliusz Machulski, starring Cezary Pazura, Jerzy Stuhr, Janusz RewiÅski, Jan Englert, Katarzyna Figura and MaÅgorzata KoÅ¼uchowska."
78,Chasing Amy,director,Kevin Smith,Q40115,Q489831,"The film received mostly positive reviews, praising the humor, performances and Kevin Smith's direction."
79,Anna Karamazoff,director,Rustam Khamdamov,Q24340,Q24583,Anna Karamazoff (Russian:  ) is a 1991 Soviet drama film directed by Rustam Khamdamov.
80,Made in Dagenham,director,Nigel Cole,Q53096,Q365726,Made in Dagenham is a 2010 British film directed by Nigel Cole.
81,Jab Tak Hai Jaan,director,Yash Chopra,Q44280,Q30876,Yash Chopra returned to direction eight years after Veer-Zaara.
82,The Sisterhood of the Traveling Pants 2,director,Sanaa Hamri,Q16458,Q4119610,"The Sisterhood of the Traveling Pants 2 was directed by Sanaa Hamri and screenplay by Elizabeth Chandler, who wrote the previous film."
83,Moscow Does Not Believe in Tears,director,Vladimir Menshov,Q53105,Q726105,Moscow Does Not Believe in Tears was written by Valentin Chernykh and directed by Vladimir Menshov.
84,Matchstick Men,director,Ridley Scott,Q4536,Q56005,"Matchstick Men is a 2003 black comedy crime film directed by Ridley Scott, and based on Eric Garcia's 2002 novel of the same name."
85,Special Effects: Anything Can Happen,director,Ben Burtt,Q8547,Q816456,Special Effects: Anything Can Happen is an American documentary film directed by Academy Award-winning sound designer Ben Burtt and narrated by John Lithgow.
86,The Hills Have Eyes Part II,director,Wes Craven,Q27536,Q223992,The Hills Have Eyes Part II is a 1985 American horror film written and directed by Wes Craven.
87,The Day After Tomorrow,director,Roland Emmerich,Q14320,Q60100,"The Day After Tomorrow is a 2004 American science fiction disaster film co-written, directed, and produced by Roland Emmerich and starring Dennis Quaid, Jake Gyllenhaal, Ian Holm, Emmy Rossum, and Sela Ward."
88,Il bidone,director,Federico Fellini,Q18403,Q7371,"Il bidone ([il bidne], ""The Drum [container]""; also known as The Swindle or The Swindlers) is a 1955 Italian film directed by Federico Fellini."
89,A Walk with Love and Death,director,John Huston,Q186490,Q51575,"A Walk with Love and Death is a 1969 DeLuxe Color romantic drama film directed by John Huston and starring Anjelica Huston, Assi Dayan, Anthony Higgins, and John Huston."
90,Vabank,director,Juliusz Machulski,Q54993,Q1349134,"Vabank is a 1981 Polish comedy heist film written and directed by Juliusz Machulski, set in 1934 Warsaw (although actually filmed  in ÅÃ³dÅº and PiotrkÃ³w Trybunalski)."
91,A Jungle Book of Regulations,director,Stanisław Bareja,Q54983,Q721037,"Nie ma róży bez ognia (title in Polish: There is no rose without fire, in reference to two mixed up proverbs - There is no rose without thorns, and There is no smoke without the fire) is a Polish comedy film from 1974 directed by Stanisław Bareja."
92,Life or Something Like It,director,Stephen Herek,Q29871,Q545669,Life or Something Like It is a 2002 American romantic comedy/drama film directed by Stephen Herek.
93,Variety Lights,director,Federico Fellini,Q18395,Q7371,"Variety Lights (Italian: Luci del varietÃ ) is a 1951 Italian romantic drama film produced and directed by Federico Fellini and Alberto Lattuada and starring Peppino De Filippo, Carla Del Poggio, and Giulietta Masina."
94,Goodfellas,director,Martin Scorsese,Q42047,Q41148,"The critical consensus on Rotten Tomatoes calls Goodfellas ""arguably the high point of Martin Scorsese's career""."
95,Docking the Boat,director,Tage Danielsson,Q18331,Q1384021,"Docking the Boat (Swedish: Att angÃ¶ra en brygga, or sometimes: To Go Ashore) is a Swedish dark comedy film from 1965 directed by Tage Danielsson."
96,Spirits of the Dead,director,Federico Fellini,Q18415,Q7371,"American International Pictures distributed this horror anthology film featuring three Poe stories directed by European directors Roger Vadim, Louis Malle and Federico Fellini."
97,Spirits of the Dead,director,Louis Malle,Q18415,Q55392,"American International Pictures distributed this horror anthology film featuring three Poe stories directed by European directors Roger Vadim, Louis Malle and Federico Fellini."
98,Madonna: Truth or Dare,director,Alek Keshishian,Q187561,Q2832478,Madonna: Truth or Dare (also known as Truth or Dare and In Bed with Madonna outside of North America) is a 1991 American documentary film by director Alek Keshishian chronicling the life of singer and songwriter Madonna during Madonna : Truth or Dare's 1990 Blond Ambition World Tour.
99,Intervista,director,Federico Fellini,Q18441,Q7371,Intervista (English: Interview) is a 1987 Italian film directed by Federico Fellini.
100,Michael Jackson's This Is It,director,Kenny Ortega,Q44447,Q380852,"The film's director, Kenny Ortega, confirmed that none of the footage was originally intended for release, but after Jackson's death, Michael Jackson 's This Is It was agreed that the film would be made."
101,Heading South,director,Laurent Cantet,Q59426,Q117071,Heading South (French: Vers le sud) is a 2005 French-Canadian drama film directed by Laurent Cantet and based on three short stories by Dany LaferriÃ¨re.
102,Assassination Games,director,Ernie Barbarash,Q31540,Q2326442,Assassination Games is a 2011 American action thriller film directed by Ernie Barbarash and starring Jean-Claude van Damme and Scott Adkins with Ivan Kaye as their main antagonist.
103,Ginger and Fred,director,Federico Fellini,Q18439,Q7371,Ginger and Fred (Italian: Ginger e Fred) is a 1986 comedy/drama film directed by Federico Fellini and starring Marcello Mastroianni and Giulietta Masina.
104,Dangerous Beauty,director,Marshall Herskovitz,Q187999,Q925604,"Dangerous Beauty is a 1998 American biographical drama film directed by Marshall Herskovitz and starring Catherine McCormack, Rufus Sewell, and Oliver Platt."
105,Variety Lights,director,Alberto Lattuada,Q18395,Q59204,"Variety Lights (Italian: Luci del varietÃ ) is a 1951 Italian romantic drama film produced and directed by Federico Fellini and Alberto Lattuada and starring Peppino De Filippo, Carla Del Poggio, and Giulietta Masina."
106,More Than a Miracle,director,Francesco Rosi,Q31786,Q53050,"Filmed in the countryside outside Naples, Francesco Rosi directed and Carlo Ponti produced."
107,Fellini: A Director's Notebook,director,Federico Fellini,Q18418,Q7371,"Fellini: A Director's Notebook (Italian: Bloc-notes di un regista) is an Italian documentary for television directed by Federico Fellini shot in 16mm and first broadcast in the United States on NBC in 1969, on NBC Experiment in Television."
108,Die Another Day,director,Lee Tamahori,Q30931,Q449104,"Die Another Day was produced by Michael G. Wilson and Barbara Broccoli, and directed by Lee Tamahori."
109,Two Weeks in Another Town,director,Vincente Minnelli,Q59240,Q51535,"Two Weeks in Another Town is a 1962 American drama film directed by Vincente Minnelli and starring Kirk Douglas, Edward G. Robinson, Cyd Charisse, Claire Trevor, Daliah Lavi, George Hamilton, and Rosanna Schiaffino."
110,Pirates of the Caribbean: At World's End,director,Gore Verbinski,Q54274,Q295463,"Pirates of the Caribbean: At World's End is a 2007 American epic fantasy swashbuckler film directed by Gore Verbinski, the third installment in the Pirates of the Caribbean film series and the sequel to Dead Man's Chest (2006)."
111,The Adventures of Anton,director,Wiktor Biegański,Q54986,Q82956,The Adventures of Anton (Polish:Przygody pana Antoniego) is a 1913 Polish silent comedy film directed by Wiktor Biegański and starring Antoni Siemaszko and Wanda Jarszewska.
112,Sex Is Comedy,director,Catherine Breillat,Q59423,Q289054,Sex Is Comedy is a 2002 French film written and directed by Catherine Breillat.
113,Hachi: A Dog's Tale,director,Lasse Hallström,Q59249,Q316051,"This version, which places Hachi : A Dog 's Tale in a modern American context, was directed by Lasse Hallström, written by Stephen P. Lindsey and Kaneto Shindo, and produced by Richard Gere."
114,Confession of Murder,director,Jung Byung-gil,Q28289,Q15985300,"""I Am the Murderer"") is a 2012 South Korean action thriller film directed by Jung Byung-gil, starring Jung Jae-young and Park Si-hoo."
115,Lo vedi come sei... lo vedi come sei?,director,Mario Mattoli,Q18444,Q55458,is a 1939 Italian comedy film directed by Mario Mattoli and starring Erminio Macario.
116,Spirits of the Dead,director,Roger Vadim,Q18415,Q383420,"American International Pictures distributed this horror anthology film featuring three Poe stories directed by European directors Roger Vadim, Louis Malle and Federico Fellini."
117,Amarcord,director,Federico Fellini,Q18428,Q7371,"Amarcord (Italian: [amarkrd]) is a 1973 Italian comedy-drama film directed by Federico Fellini, a semi-autobiographical tale about Titta, an adolescent boy growing up among an eccentric cast of characters in the village of Borgo San Giuliano (situated near the ancient walls of Rimini) in 1930s Fascist Italy."
118,La Dolce Vita,director,Federico Fellini,Q18407,Q7371,"La Dolce Vita ([la dolte vita]; Italian for ""the sweet life"" or ""the good life"") is a 1960 comedy-drama film directed and co-written by Federico Fellini."
119,Batman Returns,director,Tim Burton,Q189054,Q56008,"Batman Returns is a 1992 American superhero film directed by Tim Burton and produced by Denise Di Novi and Burton, based on the DC Comics character Batman."
120,Life is All You Get,director,Wolfgang Becker,Q320318,Q60669,Life Is All You Get (German: Das Leben ist eine Baustelle) is a 1997 German comedy film directed by Wolfgang Becker.
121,Orchestra Rehearsal,director,Federico Fellini,Q18431,Q7371,Orchestra Rehearsal (Italian: Prova d'orchestra) is a 1978 Italian satirical film directed by Federico Fellini.
122,And the Ship Sails On,director,Federico Fellini,Q18437,Q7371,And the Ship Sails On (Italian: E la nave va) is a 1983 Italian film directed and co-written by Federico Fellini.
123,City of Women,director,Federico Fellini,Q18433,Q7371,City of Women (Italian: La cittÃ  delle donne) is a 1980 Italian fantasy comedy-drama film written and directed by Federico Fellini.
124,Akele Hum Akele Tum,director,Mansoor Khan,Q58619,Q3286556,"Akele Hum Akele Tum (I'm Alone, You Are Alone) is a 1995 Indian Hindi-language romantic drama film starring Aamir Khan, Manisha Koirala and Master Adil, and directed by Mansoor Khan."
125,Fellini's Casanova,director,Federico Fellini,Q18429,Q7371,"Fellini's Casanova (Il Casanova di Federico Fellini) is a 1976 Italian film by director Federico Fellini, adapted from the autobiography of Giacomo Casanova, the 18th-century adventurer and writer."
126,Reap the Wild Wind,director,Cecil B. DeMille,Q31971,Q72267,"Reap the Wild Wind is an American 1942 adventure film starring Ray Milland, John Wayne, Paulette Goddard, Robert Preston, and Susan Hayward, and directed by Cecil B. DeMille, his second picture to be filmed in color."
127,Jour de Fête,director,Jacques Tati,Q29867,Q51549,Jour de fête (The Big Day) is a 1949 French comedy film starring Jacques Tati in his feature film directional debut as an inept and easily distracted mailman in a backward French village.
128,13 Tzameti,director,Géla Babluani,Q186900,Q200748,"13 Tzameti is a 2005 suspense thriller film written, produced, and directed by Georgian filmmaker Géla Babluani."
129,Incident at Loch Ness,director,Zak Penn,Q32241,Q19031,"Incident at Loch Ness is a 2004 mockumentary starring, produced by and written by Werner Herzog and Zak Penn."
130,The Mortal Instruments: City of Bones,director,Harald Zwart,Q59346,Q962552,"Directed by Harald Zwart, the film stars an international cast, including Lily Collins, Jamie Campbell Bower, Robert Sheehan, Kevin Zegers, Jemima West, Godfrey Gao, Lena Headey, Jonathan Rhys Meyers, Aidan Turner, Kevin Durand, and Jared Harris."
131,A Time to Love and a Time to Die,director,Douglas Sirk,Q185834,Q60858,A Time to Love and a Time to Die is a 1958 Eastmancolor CinemaScope drama war film directed by Douglas Sirk and starring John Gavin.
132,Apocalypto,director,Mel Gibson,Q188035,Q42229,"Apocalypto (/pklpto/) is a 2006 American epic historical adventure film produced, co-written, and directed by Mel Gibson."
133,Johnny Guitar,director,Nicholas Ray,Q59318,Q240677,"Johnny Guitar is a 1954 American Drama Western film directed by Nicholas Ray starring Joan Crawford, Sterling Hayden, Mercedes McCambridge, Ernest Borgnine and Scott Brady."
134,The Magnificent Seven,director,John Sturges,Q19069,Q361670,"The Magnificent Seven is a 1960 American Western film directed by John Sturges and starring Yul Brynner, Eli Wallach, Steve McQueen, Charles Bronson, Robert Vaughn, Brad Dexter, James Coburn and Horst Buchholz."
135,Abhijan,director,Satyajit Ray,Q320574,Q8873,"Abhijan (, The Expedition) is a 1962 Bengali film directed by the Indian filmmaker Satyajit Ray."
136,Invasion of the Body Snatchers,director,Don Siegel,Q45386,Q358322,"Invasion of the Body Snatchers is a 1956 American science fiction horror film produced by Walter Wanger, directed by Don Siegel, that stars Kevin McCarthy and Dana Wynter."
137,The Thing About My Folks,director,Raymond De Felitta,Q188064,Q788314,"The Thing About My Folks is a 2005 American drama film directed by Raymond De Felitta and starring  Peter Falk, Paul Reiser, and Olympia Dukakis."
138,The Angels' Share,director,Ken Loach,Q45318,Q55238,"The Angels' Share is a comedy-drama film directed by Ken Loach and starring Paul Brannigan, John Henshaw, and William Ruane."
139,For Richer or Poorer,director,Bryan Spicer,Q185859,Q2927184,For Richer or Poorer is a 1997 American comedy film directed by Bryan Spicer starring Tim Allen and Kirstie Alley as a New York socialite couple who decide to end their spoiled relationship.
140,Zelig,director,Woody Allen,Q187423,Q25089,Zelig is a 1983 American mockumentary film written and directed by Woody Allen and starring Allen and Mia Farrow.
141,A Dangerous Method,director,David Cronenberg,Q188159,Q55422,"A Dangerous Method is a 2011 historical film directed by David Cronenberg and starring Keira Knightley, Viggo Mortensen, Michael Fassbender, and Vincent Cassel."
142,Miracle of Marcelino,director,Ladislao Vajda,Q56217,Q59972,"Miracle of Marcelino (Spanish: Marcelino, pan y vino, ""Marcelino, bread and wine"") is a 1955 Spanish film written by JosÃ© Maria Sanchez-Silva, based on his novel, and directed by Ladislao Vajda."
143,Birthday Girl,director,Jez Butterworth,Q18964,Q1688756,Birthday Girl is a 2001 erotic comedy thriller film directed by Jez Butterworth.
