,subject,relation,object,subject_entity,object_entity,sentence
47,The Intouchables,cast member,Thomas Solivérès,Q595,Q3525573,sentence from index
48,Citizen Kane,cast member,Gino Corrado,Q24815,Q5563216,sentence from index
49,Dead like Me: Life After Death,cast member,Lucinda Davis,Q33148,Q16207399,sentence from index
50,The Intouchables,cast member,Christian Ameri,Q595,Q17352673,sentence from index
51,Taxi Driver,cast member,Martin Scorsese,Q47221,Q41148,sentence from index
52,Dead like Me: Life After Death,cast member,Tyrone Benskin,Q33148,Q3546363,sentence from index
53,Jaded,cast member,Danny Aiello III,Q24618,Q5220087,sentence from index
54,Taxi Driver,cast member,Harry Northup,Q47221,Q3783517,sentence from index
55,The Broken Coin,cast member,John Ford,Q24732,Q51114,sentence from index
56,July 14,cast member,Raymond Cordy,Q24585,Q2134104,sentence from index
57,Citizen Kane,cast member,William Alland,Q24815,Q925872,sentence from index
58,July 14,cast member,Albert Broquin,Q24585,Q2830987,sentence from index
59,July 14,cast member,Anna Lefeuvrier,Q24585,Q2850540,sentence from index
60,A Gang Story,cast member,Étienne Chicot,Q593,Q289524,sentence from index
61,A Gang Story,cast member,Gérard Lanvin,Q593,Q1558999,sentence from index
62,The Broken Coin,cast member,Eddie Polo,Q24732,Q1282938,sentence from index
63,A Gang Story,cast member,Daniel Duval,Q593,Q778573,sentence from index
64,Citizen Kane,cast member,Joseph Cotten,Q24815,Q95148,sentence from index
65,Citizen Kane,cast member,Agnes Moorehead,Q24815,Q231221,sentence from index
66,Citizen Kane,cast member,Ruth Warrick,Q24815,Q456375,sentence from index
67,July 14,cast member,Arlette Balkis,Q24585,Q2861619,sentence from index
68,July 14,cast member,René Bergeron,Q24585,Q3425827,sentence from index
69,July 14,cast member,René Fleur,Q24585,Q3426199,sentence from index
70,July 14,cast member,Odette Talazac,Q24585,Q3349208,sentence from index
71,A Gang Story,cast member,François Levantal,Q593,Q658664,sentence from index
72,A Gang Story,cast member,Lionnel Astier,Q593,Q3241976,sentence from index
73,A Gang Story,cast member,Simon Astier,Q593,Q3484193,sentence from index
74,Dead like Me: Life After Death,cast member,Jasmine Guy,Q33148,Q448141,sentence from index
75,A Gang Story,cast member,Patrick Catalifo,Q593,Q3369315,sentence from index
76,Dead like Me: Life After Death,cast member,Shenae Grimes,Q33148,Q253183,sentence from index
77,Dead like Me: Life After Death,cast member,Henry Ian Cusick,Q33148,Q294404,sentence from index
78,Dead like Me: Life After Death,cast member,Britt McKillip,Q33148,Q458871,sentence from index
79,The Intouchables,cast member,Audrey Fleurot,Q595,Q457089,sentence from index
80,The Intouchables,cast member,Caroline Bourg,Q595,Q1044462,sentence from index
81,Taxi Driver,cast member,Leonard Harris,Q47221,Q3229673,sentence from index
82,Jaded,cast member,Christopher McDonald,Q24618,Q349857,sentence from index
83,Jaded,cast member,Anna Thomson,Q24618,Q448587,sentence from index
84,Taxi Driver,cast member,Peter Boyle,Q47221,Q315123,sentence from index
85,Jaded,cast member,Richard Bright,Q24618,Q786720,sentence from index
86,Jaded,cast member,Aida Turturro,Q24618,Q115134,sentence from index
87,The Intouchables,cast member,François Caron,Q595,Q3084174,sentence from index
88,Dead like Me: Life After Death,cast member,Cynthia Stevenson,Q33148,Q444187,sentence from index
89,Jaded,cast member,Lorraine Toussaint,Q24618,Q460786,sentence from index
90,The Broken Coin,cast member,Francis Ford,Q24732,Q1361838,sentence from index
91,The Broken Coin,cast member,Jack Holt,Q24732,Q1357250,sentence from index
92,The Broken Coin,cast member,Grace Cunard,Q24732,Q2757658,sentence from index
93,Jaded,cast member,Catherine Dent,Q24618,Q457395,sentence from index
94,Jaded,cast member,Carla Gugino,Q24618,Q228871,sentence from index
95,Jaded,cast member,Frankie Faison,Q24618,Q943589,sentence from index
96,Taxi Driver,cast member,Joe Spinell,Q47221,Q960676,sentence from index
97,Jaded,cast member,Rya Kihlstedt,Q24618,Q435652,sentence from index
98,Taxi Driver,cast member,Harry Cohn,Q47221,Q1586470,sentence from index
99,Taxi Driver,cast member,Harvey Keitel,Q47221,Q191132,sentence from index
