,subject,relation,object,subject_entity,object_entity,sentence
66,Super Mario Bros.,based on,Super Mario Bros.,Q535550,Q11168,sentence from index
67,Harry Potter and the Order of the Phoenix,based on,Harry Potter and the Order of the Phoenix,Q102235,Q80817,sentence from index
68,As Quatro Chaves Mágicas,based on,Hansel and Gretel,Q17168956,Q11829,sentence from index
69,Sydney White,based on,Snow White,Q1137907,Q11831,sentence from index
70,Skyfall,based on,James Bond,Q4941,Q844,sentence from index
71,Tromeo and Juliet,based on,Romeo and Juliet,Q1158741,Q83186,sentence from index
72,Fantasia 3,based on,The Little Mermaid,Q5434130,Q11859,sentence from index
73,The Da Vinci Code,based on,The Da Vinci Code,Q160560,Q81689,sentence from index
74,Superman,based on,Superman,Q213053,Q79015,sentence from index
75,Superman and the Mole Men,based on,Superman,Q1115677,Q79015,sentence from index
76,Star Trek III: The Search for Spock,based on,Star Trek: The Original Series,Q221305,Q1077,sentence from index
77,Dorian Gray,based on,The Picture of Dorian Gray,Q327546,Q82464,sentence from index
78,The World Is Not Enough,based on,James Bond,Q212145,Q844,sentence from index
79,The Little Mermaid,based on,The Little Mermaid,Q1219608,Q11859,sentence from index
80,The Upside,based on,The Intouchables,Q28793040,Q595,sentence from index
81,Romeo and Juliet,based on,Romeo and Juliet,Q3441351,Q83186,sentence from index
82,Black Rain,based on,Black Rain,Q930312,Q81810,sentence from index
83,The Bible: In the Beginning...,based on,Book of Genesis,Q773293,Q9184,sentence from index
84,Kick-Ass,based on,Kick-Ass,Q2201,Q2515,sentence from index
85,The Little Mermaid,based on,The Little Mermaid,Q14857809,Q11859,sentence from index
86,Hansel & Gretel: Witch Hunters,based on,Hansel and Gretel,Q498287,Q11829,sentence from index
87,Super Kabuki II: One Piece,based on,One Piece,Q40889063,Q673,sentence from index
88,Three Kingdoms: Resurrection of the Dragon,based on,The Romance of the Three Kingdoms,Q703857,Q70806,sentence from index
89,White As Snow,based on,Snow White,Q64868943,Q11831,sentence from index
90,Dorian Gray,based on,The Picture of Dorian Gray,Q921510,Q82464,sentence from index
91,Red Cliff,based on,The Romance of the Three Kingdoms,Q815606,Q70806,sentence from index
92,Snow White,based on,Snow White,Q7548340,Q11831,sentence from index
93,Puss in Boots,based on,Puss in Boots,Q3794074,Q11834,sentence from index
94,The Little Mermaid,based on,The Little Mermaid,Q24357415,Q11859,sentence from index
95,Gone with the Wind,based on,Gone with the Wind,Q2875,Q2870,sentence from index
96,The Little Mermaid,based on,The Little Mermaid,Q28970981,Q11859,sentence from index
97,Raavanan,based on,Ramayana,Q3521744,Q37293,sentence from index
98,The Gospel of John,based on,Gospel of John,Q48674664,Q36766,sentence from index
99,The Snow Queen,based on,The Snow Queen,Q18693366,Q11880,sentence from index
