,subject,relation,object,subject_entity,object_entity,sentence
86,The Hawk's Trail,publication date,01 January 1919,Q27128,,The Hawk's Trail is a 1919 American crime film serial directed by W. S. Van Dyke.
87,Tokyo Story,publication date,03 November 1953,Q26060,,"Tokyo Story (, TÅkyÅ Monogatari) is a 1953 Japanese drama film directed by YasujirÅ Ozu and starring ChishÅ« RyÅ« and Chieko Higashiyama."
88,Eraserhead,publication date,01 January 1977,Q11618,,"Eraserhead is a 1977 American experimental body horror film written, directed, produced, and edited by David Lynch."
89,"The Good, the Bad and the Ugly",publication date,23 December 1966,Q41483,,"'""The good, the ugly, the bad""') is a 1966 Italian epic Spaghetti Western film directed by Sergio Leone and starring Clint Eastwood as ""the Good"", Lee Van Cleef as ""the Bad"", and Eli Wallach as ""the Ugly""."
90,Liar Liar,publication date,29 May 1997,Q48980,,"Liar Liar is a 1997 American fantasy comedy film directed by Tom Shadyac, written by Paul Guay and Stephen Mazur and starring Jim Carrey, who was nominated for a Golden Globe Award for Best Actor in a Comedy."
91,Fly Away Home,publication date,01 January 1996,Q49018,,Flying Wild and Father Goose) is a 1996 family drama film directed by Carroll Ballard.
92,The Black Windmill,publication date,01 January 1974,Q49398,,"The Black Windmill is a 1974 British spy thriller film directed by Don Siegel and starring Michael Caine, John Vernon, Janet Suzman and Donald Pleasence."
93,The People Under the Stairs,publication date,01 January 1991,Q27338,,"The People Under the Stairs is a 1991 American horror comedy film written and directed by Wes Craven and starring Brandon Adams, Everett McGill, Wendy Robie, A. J. Langer, Ving Rhames, and Sean Whalen."
94,Four Lions,publication date,01 January 2010,Q5590,,"Four Lions is a 2010 British satirical dark comedy film, directed by Chris Morris in his directorial debut, and written by Morris, Sam Bain and Jesse Armstrong."
95,My Boss,publication date,13 December 2012,Q32780,,"My Boss is a 2012 Malayalam romantic comedy film directed by Jeethu Joseph, starring Dileep and Mamta Mohandas in the lead roles and Mukesh in a cameo appearance."
96,Married to the Mob,publication date,01 January 1988,Q48984,,"Married to the Mob is a 1988 American comedy film directed by Jonathan Demme, starring Michelle Pfeiffer and Matthew Modine."
97,A Time for Dying,publication date,01 January 1969,Q81898,,"A Time for Dying is a 1969 Western film written directed by Budd Boetticher with a cameo role by Audie Murphy, who also produced the film, as Jesse James."
98,New Jersey Drive,publication date,01 January 1995,Q81597,,"New Jersey Drive is a 1995 crime drama film about joy riding black teenagers in 1990s Newark, New Jersey, then known as the ""car theft capital of the world""."
99,Catlow,publication date,01 January 1971,Q43846,,"Catlow is a 1971 Western film, based on a 1963 novel of the same name by Louis L'Amour."
100,La Dolce Vita,publication date,01 January 1960,Q18407,,La Dolce Vita won the Palme d'Or (Golden Palm) at the 1960 Cannes Film Festival and the Oscar for Best Costumes.
101,Married to the Mob,publication date,22 December 1988,Q48984,,"Married to the Mob is a 1988 American comedy film directed by Jonathan Demme, starring Michelle Pfeiffer and Matthew Modine."
102,Lonely Are the Brave,publication date,24 May 1962,Q49396,,Lonely Are the Brave is a 1962 American Drama Western film adaptation of the Edward Abbey novel The Brave Cowboy.
103,Live Free or Die Hard,publication date,27 June 2007,Q50861,,Live Free or Die Hard (released as Die Hard 4.0 outside North America) is a 2007 American action-thriller film and the fourth installment in the Die Hard film series.
104,Live Free or Die Hard,publication date,26 October 2007,Q50861,,Live Free or Die Hard (released as Die Hard 4.0 outside North America) is a 2007 American action-thriller film and the fourth installment in the Die Hard film series.
105,The Day After Tomorrow,publication date,27 May 2004,Q14320,,"The Day After Tomorrow is a 2004 American science fiction disaster film co-written, directed, and produced by Roland Emmerich and starring Dennis Quaid, Jake Gyllenhaal, Ian Holm, Emmy Rossum, and Sela Ward."
106,The Day After Tomorrow,publication date,28 May 2004,Q14320,,"Originally slated for release in the summer of 2003, The Day After Tomorrow premiered in Mexico City on May 17, 2004, and was released in the United States on May 28, 2004."
107,Step Up 2: The Streets,publication date,06 March 2008,Q81487,,Step Up 2: The Streets is a 2008 American dance film directed by Jon M. Chu (in Step Up 2 : The Streets's feature directorial debut) and written by Toni Ann Johnson and Karen Barna.
108,La Strada,publication date,01 January 1954,Q18402,,"'""The Road""') is a 1954 Italian drama film directed by Federico Fellini from La Strada's own screenplay co-written with Tullio Pinelli and Ennio Flaiano."
109,Variety Lights,publication date,01 January 1951,Q18395,,"Variety Lights (Italian: Luci del varietÃ ) is a 1951 Italian romantic drama film produced and directed by Federico Fellini and Alberto Lattuada and starring Peppino De Filippo, Carla Del Poggio, and Giulietta Masina."
110,"O-Bi, O-Ba: The End of Civilization",publication date,01 January 1985,Q82297,,"O-Bi, O-Ba: The End of Civilization (Polish: O-bi, o-ba: Koniec cywilizacji) is a 1985 Polish drama science fiction film written and directed by Piotr Szulkin."
111,It Came from Beneath the Sea,publication date,01 January 1955,Q50937,,"It Came from Beneath the Sea is a 1955 American horror science fiction giant monster film from Columbia Pictures, produced by Sam Katzman and Charles Schneer, directed by Robert Gordon, that stars Kenneth Tobey, Faith Domergue, and Donald Curtis."
112,I Vitelloni,publication date,01 January 1953,Q18399,,"""The Bullocks/The layabouts"") is a 1953 Italian comedy-drama directed by Federico Fellini from a screenplay by Fellini, Ennio Flaiano and Tullio Pinelli."
113,Nights of Cabiria,publication date,16 October 1957,Q18405,,"Besides the best actress award at the Cannes Film Festival for Giulietta Masina, Nights of Cabiria won the 1957 Academy Award for Best Foreign Language Film."
114,Nights of Cabiria,publication date,27 May 1957,Q18405,,"Besides the best actress award at the Cannes Film Festival for Giulietta Masina, Nights of Cabiria won the 1957 Academy Award for Best Foreign Language Film."
115,Nights of Cabiria,publication date,10 May 1957,Q18405,,"Besides the best actress award at the Cannes Film Festival for Giulietta Masina, Nights of Cabiria won the 1957 Academy Award for Best Foreign Language Film."
116,The White Sheik,publication date,01 January 1952,Q18397,,"The White Sheik (Italian: Lo sceicco bianco) is a 1952 Italian romantic comedy film directed by Federico Fellini and starring Alberto Sordi, Leopoldo Trieste, Brunella Bovo and Giulietta Masina."
117,Docking the Boat,publication date,26 December 1965,Q18331,,"Docking the Boat (Swedish: Att angÃ¶ra en brygga, or sometimes: To Go Ashore) is a Swedish dark comedy film from 1965 directed by Tage Danielsson."
118,Docking the Boat,publication date,01 January 1965,Q18331,,"Docking the Boat (Swedish: Att angÃ¶ra en brygga, or sometimes: To Go Ashore) is a Swedish dark comedy film from 1965 directed by Tage Danielsson."
119,Il bidone,publication date,01 January 1955,Q18403,,"Il bidone ([il bidne], ""The Drum [container]""; also known as The Swindle or The Swindlers) is a 1955 Italian film directed by Federico Fellini."
120,Be-Imaan,publication date,01 January 1972,Q82321,,Dishonest) is a 1972 film directed by Sohanlal Kanwar.
121,Walter Defends Sarajevo,publication date,01 January 1972,Q82223,,"Walter Defends Sarajevo (Serbo-Croatian: Valter brani Sarajevo/  ) is a 1972 Yugoslav partisan film, directed by Hajrudin Krvavac and starring Bata Å½ivojinoviÄ, LjubiÅ¡a SamardÅ¾iÄ and Rade MarkoviÄ."
122,Dharmputra,publication date,01 January 1961,Q82374,,Dharmputra is a 1961 Hindi film directed by Yash Chopra based on a novel of the same name by Acharya Chatursen.
123,The King and the Clown,publication date,29 December 2005,Q51743,,"The King's Man) is a 2005 South Korean historical drama film, starring Kam Woo-sung, Lee Joon-gi and Jung Jin-young."
124,Bichhoo,publication date,01 January 2000,Q16453,,Scorpion) is a 2000 Indian action thriller film starring Bobby Deol and Rani Mukerji.
125,Love Is Not Blind,publication date,01 January 2011,Q51732,,: '33 Days of Breakup') is a 2011 Chinese romantic comedy film directed by Teng Huatao.
126,Curse of the Golden Flower,publication date,01 January 2006,Q51737,,Curse of the Golden Flower (Chinese: ; pinyin: MÇnchÃ©ngjÃ¬ndÃ ihuÃ¡ngjÄ«njiÇ) is a 2006 Chinese epic wuxia drama film written and directed by Zhang Yimou.
127,Amarcord,publication date,01 January 1973,Q18428,,"Amarcord (Italian: [amarkrd]) is a 1973 Italian comedy-drama film directed by Federico Fellini, a semi-autobiographical tale about Titta, an adolescent boy growing up among an eccentric cast of characters in the village of Borgo San Giuliano (situated near the ancient walls of Rimini) in 1930s Fascist Italy."
128,In Bruges,publication date,15 May 2008,Q244931,,In Bruges is a 2008 British-American black comedy crime film written and directed by Martin McDonagh.
129,In Bruges,publication date,25 June 2008,Q244931,,In Bruges is a 2008 British-American black comedy crime film written and directed by Martin McDonagh.
130,The Matrix,publication date,31 March 1999,Q83495,,"Released on March 31, 1999, The Matrix proved to be a box office success, grossing over $460 million worldwide."
131,2 Girls 1 Cup,publication date,05 January 2007,Q83103,,"2 Girls 1 Cup is the unofficial nickname of the trailer for Hungry Bitches, a 2007 Brazilian scat fetish pornographic film produced by MFX Media."
132,Curse of the Golden Flower,publication date,26 April 2007,Q51737,,"In 2007 Curse of the Golden Flower received fourteen nominations at the 26th Hong Kong Film Awards and won Best Actress for Gong Li, Best Art Direction, Best Costume and Make Up Design and Best Original Film Song for """" (Chrysanthemum Terrace) by Jay Chou."
133,D-Day the Sixth of June,publication date,12 December 1956,Q244872,,D-Day the Sixth of June is a DeLuxe Color 1956 CinemaScope romance war film made by 20th Century Fox.
134,D-Day the Sixth of June,publication date,15 October 1956,Q244872,,D-Day the Sixth of June is a DeLuxe Color 1956 CinemaScope romance war film made by 20th Century Fox.
135,D-Day the Sixth of June,publication date,31 August 1956,Q244872,,D-Day the Sixth of June is a DeLuxe Color 1956 CinemaScope romance war film made by 20th Century Fox.
136,D-Day the Sixth of June,publication date,29 May 1956,Q244872,,D-Day the Sixth of June is a DeLuxe Color 1956 CinemaScope romance war film made by 20th Century Fox.
137,Captain America: The First Avenger,publication date,22 July 2011,Q275120,,"Captain America: The First Avenger premiered at the El Capitan Theatre on July 19, 2011, and was released in the United States on July 22, as part of Phase One of the MCU."
138,Captain America: The First Avenger,publication date,05 August 2011,Q275120,,Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America.
139,Captain America: The First Avenger,publication date,11 August 2011,Q275120,,Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America.
140,Captain America: The First Avenger,publication date,17 August 2011,Q275120,,Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America.
141,Captain America: The First Avenger,publication date,18 August 2011,Q275120,,Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America.
142,Captain America: The First Avenger,publication date,09 September 2011,Q275120,,Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America.
143,In Bruges,publication date,17 January 2008,Q244931,,In Bruges is a 2008 British-American black comedy crime film written and directed by Martin McDonagh.
144,The Landlord,publication date,01 January 1970,Q82519,,"The Landlord is a 1970 American comedy-drama film directed by Hal Ashby, adapted by Bill Gunn from the 1966 novel by Kristin Hunter."
145,Gates to Paradise,publication date,01 January 1968,Q83005,,Gates to Paradise is a 1968 film by Polish director Andrzej Wajda.
146,December Boys,publication date,01 January 2007,Q83730,,December Boys is an Australian 2007 drama film directed by Rod Hardy and written by Marc Rosenberg and adapted from the 1963 novel of the same name by Michael Noonan.
147,And the Ship Sails On,publication date,01 January 1983,Q18437,,And the Ship Sails On (Italian: E la nave va) is a 1983 Italian film directed and co-written by Federico Fellini.
148,Made in Dagenham,publication date,01 January 2010,Q53096,,Made in Dagenham is a 2010 British film directed by Nigel Cole.
149,The Great Race,publication date,01 January 1965,Q304366,,"The Great Race is a 1965 American Technicolor slapstick comedy film starring Jack Lemmon, Tony Curtis, and Natalie Wood, directed by Blake Edwards, written by Edwards and Arthur A. Ross, and with music by Henry Mancini and cinematography by Russell Harlan."
150,The Bedford Incident,publication date,01 January 1965,Q244929,,The Bedford Incident (aka Aux Postes De Combat) is a 1965 British-American Cold War film starring Richard Widmark and Sidney Poitier and co-produced by Widmark.
151,Fellini: A Director's Notebook,publication date,01 January 1969,Q18418,,"Fellini: A Director's Notebook (Italian: Bloc-notes di un regista) is an Italian documentary for television directed by Federico Fellini shot in 16mm and first broadcast in the United States on NBC in 1969, on NBC Experiment in Television."
152,City of Women,publication date,01 January 1980,Q18433,,City of Women (Italian: La cittÃ  delle donne) is a 1980 Italian fantasy comedy-drama film written and directed by Federico Fellini.
153,On the Path,publication date,01 January 2010,Q244900,,On the Path (Bosnian: Na putu) is a 2010 Bosnian and Herzegovinian drama film directed by Jasmila Žbanić.
154,On the Path,publication date,02 September 2010,Q244900,,On the Path (Bosnian: Na putu) is a 2010 Bosnian and Herzegovinian drama film directed by Jasmila Žbanić.
155,Khosla Ka Ghosla,publication date,01 January 2006,Q83505,,"In 2006, UTV Motion Pictures stepped in and distributed the film."
